Machine,Batch,Step,Comp,Tool,From,To,Dist,Switch
M3,5,Plc32,J,E7,"(10, 10)","(10, 8)",2.0,1
M3,5,Return33,-,E7,"(10, 8)","(0, 0)",12.81,0
M3,6,Pick34,E,E5,"(0, 0)","(6, 0)",6.0,1
M3,6,Pick35,E,E7,"(6, 0)","(6, 0)",0.0,1
M3,6,Pick36,D,E9,"(6, 0)","(5, 0)",1.0,1
M3,6,Plc37,E,E5,"(5, 0)","(12, 2)",7.28,1
M3,6,Plc38,E,E7,"(12, 2)","(12, 3)",1.0,1
M3,6,Plc39,D,E9,"(12, 3)","(9, 2)",3.16,1
M3,6,Return40,-,E9,"(9, 2)","(0, 0)",9.22,0
M3,7,Pick41,D,E9,"(0, 0)","(5, 0)",5.0,0
M3,7,Plc42,D,E9,"(5, 0)","(3, 2)",2.83,0
M3,7,Return43,-,E9,"(3, 2)","(0, 0)",3.61,0
M3,8,Pick44,D,E9,"(0, 0)","(5, 0)",5.0,0
M3,8,Pick45,E,E5,"(5, 0)","(6, 0)",1.0,1
M3,8,Pick46,J,E7,"(6, 0)","(11, 0)",5.0,1
M3,8,Plc47,D,E9,"(11, 0)","(11, 2)",2.0,1
M3,8,Plc48,E,E5,"(11, 2)","(12, 12)",10.05,1
M3,8,Plc49,J,E7,"(12, 12)","(8, 12)",4.0,1
M3,8,Return50,-,E7,"(8, 12)","(0, 0)",14.42,0
M3,9,Pick51,J,E7,"(0, 0)","(11, 0)",11.0,0
M3,9,Pick52,I,E5,"(11, 0)","(10, 0)",1.0,1
M3,9,Plc53,J,E7,"(10, 0)","(10, 5)",5.0,1
M3,9,Plc54,I,E5,"(10, 5)","(7, 5)",3.0,1
M3,9,Return55,-,E5,"(7, 5)","(0, 0)",8.6,0
M3,10,Pick56,E,E5,"(0, 0)","(6, 0)",6.0,0
M3,10,Pick57,E,E7,"(6, 0)","(6, 0)",0.0,1
M3,10,Pick58,D,E9,"(6, 0)","(5, 0)",1.0,1
M3,10,Plc59,E,E5,"(5, 0)","(12, 10)",12.21,1
M3,10,Plc60,E,E7,"(12, 10)","(12, 13)",3.0,1
M3,10,Plc61,D,E9,"(12, 13)","(7, 13)",5.0,1
M3,10,Return62,-,E9,"(7, 13)","(0, 0)",14.76,0
M3,11,Pick63,D,E9,"(0, 0)","(5, 0)",5.0,0
M3,11,Pick64,E,E5,"(5, 0)","(6, 0)",1.0,1
